K11,K12,K13,K14,K15,K16,K21,K22,K23,K24,K25,K26,K31,K32,K33,K34,K35,K36,K41,K42,K43,K44,K45,K46,K51,K52,K53,K54,K55,K56,K61,K62,K63,K64,K65,K66,F1,F2,F3,F4,F5,F6,U1,U2,U3,U4,U5,U6
31862417.748014685,-23896813.311011013,15931208.874007342,0.0,0.0,0.0,-23896813.311011013,38746531.18431643,-9047095.437705599,-14849717.873305414,14849717.873305414,0.0,15931208.874007342,-9047095.437705599,51662041.57908857,-14849717.873305414,9899811.915536942,0.0,0.0,-14849717.873305414,-14849717.873305414,41031861.71091274,11332425.964301914,26182143.837607328,0.0,14849717.873305414,9899811.915536942,11332425.964301914,54709148.94788365,17454762.558404885,0.0,0.0,0.0,26182143.837607328,17454762.558404885,34909525.11680977,-12127.187102557125,-45619.54196261561,9047.860217575715,-58140.98647859824,-13221.675056236596,16301.001941218005,-0.01856133930050729,-0.031432870795235976,-0.010787849618269745,-0.03170542112087233,0.010796369604828613,0.01884783101497763
31401029.27165271,-23550771.95373953,15700514.635826355,0.0,0.0,0.0,-23550771.95373953,47774508.19621728,672964.2887382209,-24223736.242477752,24223736.242477752,0.0,15700514.635826355,672964.2887382209,63699344.26162305,-24223736.242477752,16149157.494985169,0.0,0.0,-24223736.242477752,-24223736.242477752,30682804.324717492,-17764668.160238013,6459068.08223974,0.0,24223736.242477752,16149157.494985169,-17764668.160238013,40910405.766289994,4306045.388159826,0.0,0.0,0.0,6459068.08223974,4306045.388159826,8612090.776319653,-8422.455735100173,-46953.27829576668,1193.8187049447888,-68390.33558865324,-8339.50446924031,15568.141499395693,-0.02132131450216028,-0.03697549861948268,-0.013357063489330754,-0.04880459451251225,0.0018229545336079498,0.037499676165461945
27179144.322903927,-20384358.242177945,13589572.161451964,0.0,0.0,0.0,-20384358.242177945,45598921.800490364,4830205.316134471,-25214563.558312416,25214563.558312416,0.0,13589572.161451964,4830205.316134471,60798562.40065381,-25214563.558312416,16809709.038874943,0.0,0.0,-25214563.558312416,-25214563.558312416,40186746.92665036,-10242380.189974476,14972183.36833794,0.0,25214563.558312416,16809709.038874943,-10242380.189974476,53582329.2355338,9981455.57889196,0.0,0.0,0.0,14972183.36833794,9981455.57889196,19962911.15778392,-5075.24749343832,-45182.05789602752,-4910.190978465868,-37828.09194040045,7361.512963674892,2623.9255082292966,-0.012943303133407578,-0.020947171181063158,-0.005907616823891132,-0.021600677351019452,0.005156892156397098,0.013753501958391805
33794722.19173296,-25346041.64379972,16897361.09586648,0.0,0.0,0.0,-25346041.64379972,45400980.42009547,-5291102.867503967,-20054938.77629575,20054938.77629575,0.0,16897361.09586648,-5291102.867503967,60534640.560127296,-20054938.77629575,13369959.184197169,0.0,0.0,-20054938.77629575,-20054938.77629575,43523307.758600846,3413430.2060093433,23468368.982305095,0.0,20054938.77629575,13369959.184197169,3413430.2060093433,58031077.0114678,15645579.32153673,0.0,0.0,0.0,23468368.982305095,15645579.32153673,31291158.64307346,-6984.556188614692,-69635.07966361471,-9242.580843975522,-93871.86155726954,1163.6535460905816,15063.483486499632,-0.023977242533866707,-0.0409955411439594,-0.013952178540787502,-0.04241648117864182,0.012934078294747771,0.025826719170889897
32021805.89465543,-24016354.42099157,16010902.947327714,0.0,0.0,0.0,-24016354.42099157,32271599.532994695,-15761109.308988445,-8255245.112003124,8255245.112003124,0.0,16010902.947327714,-15761109.308988445,43028799.377326265,-8255245.112003124,5503496.741335416,0.0,0.0,-8255245.112003124,-8255245.112003124,23856712.212633047,7346221.988626798,15601467.100629922,0.0,8255245.112003124,5503496.741335416,7346221.988626798,31808949.61684406,10400978.067086615,0.0,0.0,0.0,15601467.100629922,10400978.067086615,20801956.13417323,-2323.723153475098,-18914.19660346495,-1657.285894204786,-47680.23003895011,-7931.3919176236,11912.400965303485,-0.017650735110212392,-0.03263758055717546,-0.013800034413295924,-0.03575168603368487,0.011847454449564617,0.021462695029805842
30811437.612681415,-23108578.20951106,15405718.806340707,0.0,0.0,0.0,-23108578.20951106,52231340.98523474,6014184.566212613,-29122762.775723673,29122762.775723673,0.0,15405718.806340707,6014184.566212613,69641787.98031297,-29122762.775723673,19415175.18381578,0.0,0.0,-29122762.775723673,-29122762.775723673,40920047.44545378,-17325478.10599357,11797284.669730105,0.0,29122762.775723673,19415175.18381578,-17325478.10599357,54560063.26060504,7864856.446486736,0.0,0.0,0.0,11797284.669730105,7864856.446486736,15729712.892973471,-7223.5622571897,-47800.69827898046,-1486.4415786140853,-39656.22266620421,4201.266782872834,4508.737052930952,-0.012888126433936267,-0.0209363863946085,-0.006097215086082537,-0.023131229584250845,0.0038091518532332434,0.015730484490991774
8677174.192076981,-6507880.644057736,4338587.0960384905,0.0,0.0,0.0,-6507880.644057736,22351913.652157947,9336152.364042476,-15844033.008100212,15844033.008100212,0.0,4338587.0960384905,9336152.364042476,29802551.536210597,-15844033.008100212,10562688.672066808,0.0,0.0,-15844033.008100212,-15844033.008100212,24970585.432474084,-6717480.583726339,9126552.424373873,0.0,15844033.008100212,10562688.672066808,-6717480.583726339,33294113.909965444,6084368.282915914,0.0,0.0,0.0,9126552.424373873,6084368.282915914,12168736.565831829,-11713.876586904322,-59813.46610996785,3489.9311371526946,-67142.35517185758,-5932.894157782601,14156.839607534228,-0.04509511585040771,-0.0656577461261626,-0.010996316365642933,-0.06220885541654044,0.01459939528096883,0.04052032185610061
29209543.67208097,-21907157.75406073,14604771.836040486,0.0,0.0,0.0,-21907157.75406073,33341057.07137584,-10473258.436745621,-11433899.31731511,11433899.31731511,0.0,14604771.836040486,-10473258.436745621,44454742.76183445,-11433899.31731511,7622599.544876739,0.0,0.0,-11433899.31731511,-11433899.31731511,36904913.95498554,14037115.320355318,25471014.637670428,0.0,11433899.31731511,7622599.544876739,14037115.320355318,49206551.939980716,16980676.42511362,0.0,0.0,0.0,25471014.637670428,16980676.42511362,33961352.85022724,-13738.132029118695,-63650.92314371394,6259.289676999411,-40411.29173321884,1487.2541264989559,5991.588225620328,-0.023646084704795244,-0.04030709373315213,-0.01410913169366005,-0.03858196633232858,0.015156752358722218,0.021534522290461
28569838.14309912,-21427378.60732434,14284919.07154956,0.0,0.0,0.0,-21427378.60732434,28200695.664775707,-14654061.549872974,-6773317.0574513655,6773317.0574513655,0.0,14284919.07154956,-14654061.549872974,37600927.553034276,-6773317.0574513655,4515544.704967577,0.0,0.0,-6773317.0574513655,-6773317.0574513655,15170838.52427929,1624204.4093765598,8397521.466827925,0.0,6773317.0574513655,4515544.704967577,1624204.4093765598,20227784.699039057,5598347.6445519505,0.0,0.0,0.0,8397521.466827925,5598347.6445519505,11196695.289103901,-1777.1007129317495,-45742.89912639147,-11693.431616266991,-75329.88553423766,1831.1028136515924,11639.429515547148,-0.04170578119971874,-0.07797264426892142,-0.03367180797879607,-0.08718113694394394,0.02591937128328299,0.05346570857521811
29385953.630548064,-22039465.22291105,14692976.815274032,0.0,0.0,0.0,-22039465.22291105,46119149.06050418,2040218.6146820858,-24079683.837593134,24079683.837593134,0.0,14692976.815274032,2040218.6146820858,61492198.747338906,-24079683.837593134,16053122.558395423,0.0,0.0,-24079683.837593134,-24079683.837593134,39470409.77712832,-8688957.898057954,15390725.93953518,0.0,24079683.837593134,16053122.558395423,-8688957.898057954,52627213.036171086,10260483.95969012,0.0,0.0,0.0,15390725.93953518,10260483.95969012,20520967.91938024,-10197.784605960072,-41884.2187336248,6434.162967378545,-21444.71822486339,379.00386887526065,3384.6177697062676,-0.010430304733077609,-0.016289924261511365,-0.004268335368738583,-0.01618483524703563,0.0040904818461691625,0.010258320118737176
28062506.624456983,-21046879.968342736,14031253.312228492,0.0,0.0,0.0,-21046879.968342736,36766477.534207314,-5327282.4024781585,-15719597.565864578,15719597.565864578,0.0,14031253.312228492,-5327282.4024781585,49021970.04560976,-15719597.565864578,10479731.710576385,0.0,0.0,-15719597.565864578,-15719597.565864578,33980972.44085668,2541777.3091275245,18261374.874992102,0.0,15719597.565864578,10479731.710576385,2541777.3091275245,45307963.25447557,12174249.9166614,0.0,0.0,0.0,18261374.874992102,12174249.9166614,24348499.8333228,-13141.649527907051,-72987.27298374774,1954.208061231524,-63473.397429636396,1217.083790138924,9970.357676536603,-0.026129577465585738,-0.04375162739655348,-0.014304884572615827,-0.04398181330994091,0.013872957371763328,0.026459366798546977
24131457.78683489,-18098593.340126164,12065728.893417444,0.0,0.0,0.0,-18098593.340126164,29305245.987816695,-6891940.692435633,-11206652.64769053,11206652.64769053,0.0,12065728.893417444,-6891940.692435633,39073661.31708893,-11206652.64769053,7471101.76512702,0.0,0.0,-11206652.64769053,-11206652.64769053,15038734.181024894,-7374571.114356167,3832081.533334364,0.0,11206652.64769053,7471101.76512702,-7374571.114356167,20051645.57469986,2554721.0222229096,0.0,0.0,0.0,3832081.533334364,2554721.0222229096,5109442.044445819,-8217.427505152102,-39308.59279233512,3331.9907461924977,-38040.09924448744,-2909.1595635766043,7794.596322536208,-0.024870037873783498,-0.044080862138528555,-0.017062272668555194,-0.056153754289003426,0.004951650145246554,0.041165018530488096
34722510.63765398,-26041882.978240483,17361255.31882699,0.0,0.0,0.0,-26041882.978240483,35358249.09660468,-16725516.859876283,-9316366.1183642,9316366.1183642,0.0,17361255.31882699,-16725516.859876283,47144332.12880625,-9316366.1183642,6210910.745576134,0.0,0.0,-9316366.1183642,-9316366.1183642,13890540.143968983,-4742192.092759417,4574174.025604783,0.0,9316366.1183642,6210910.745576134,-4742192.092759417,18520720.191958643,3049449.3504031887,0.0,0.0,0.0,4574174.025604783,3049449.3504031887,6098898.700806377,-5887.425046996615,-35873.9942404906,-183.14798617030556,-52997.96226221104,-5524.841354403172,11595.414387570092,-0.027635001418171566,-0.051398307291617575,-0.022166570966995192,-0.06577131286763062,0.008406249485623091,0.04702659076226828
